origin,dest,year,asylum_apps
CHL,CRI,2020,7
CHL,CRI,2021,45
CHL,CRI,2022,12
CHL,CRI,2023,5
CHL,DEU,2019,5
CHL,DEU,2020,5
CHL,DEU,2021,13
CHL,DEU,2022,21
CHL,DEU,2023,46
CHL,DNK,2013,10
CHL,DNK,2019,5
CHL,DNK,2020,5
CHL,ECU,2008,11
CHL,ECU,2009,14
CHL,ECU,2010,16
CHL,ECU,2011,5
CHL,ECU,2017,6
CHL,ECU,2018,5
CHL,ECU,2019,5
CHL,ECU,2022,5
CHL,ECU,2023,5
CHL,ESP,2008,5
CHL,ESP,2010,5
CHL,ESP,2015,5
CHL,ESP,2016,8
CHL,ESP,2017,17
CHL,ESP,2018,39
CHL,ESP,2019,114
CHL,ESP,2020,189
CHL,ESP,2021,141
CHL,ESP,2022,254
CHL,ESP,2023,425
CHL,FIN,2011,5
CHL,FRA,2012,5
CHL,FRA,2013,5
CHL,FRA,2014,5
CHL,FRA,2015,5
CHL,FRA,2018,8
CHL,FRA,2019,13
CHL,FRA,2020,23
CHL,FRA,2021,18
CHL,FRA,2022,24
CHL,FRA,2023,34
CHL,GBR,2009,5
CHL,GBR,2010,9
CHL,GBR,2011,5
CHL,GBR,2018,13
CHL,GBR,2019,10
CHL,GBR,2020,9
CHL,GBR,2021,5
CHL,GBR,2022,5
CHL,GBR,2023,15
CHL,GRC,2008,5
CHL,GRC,2009,5
CHL,GRC,2019,5
CHL,IRL,2011,10
CHL,IRL,2018,5
CHL,IRL,2019,5
CHL,IRL,2022,5
CHL,IRL,2023,10
CHL,ISL,2019,5
CHL,ISL,2020,5
CHL,ISL,2022,10
CHL,ISL,2023,12
CHL,ISR,2008,5
CHL,ITA,2008,7
CHL,ITA,2010,5
CHL,ITA,2014,6
CHL,ITA,2015,5
CHL,ITA,2016,5
CHL,ITA,2017,5
CHL,ITA,2018,6
CHL,ITA,2019,23
CHL,ITA,2020,17
CHL,ITA,2021,19
CHL,ITA,2022,33
CHL,ITA,2023,45
CHL,KOR,2020,5
CHL,LTU,2020,5
CHL,LTU,2021,5
CHL,MEX,2018,5
CHL,MEX,2019,418
CHL,MEX,2020,808
CHL,MEX,2021,6970
CHL,MEX,2022,885
CHL,MEX,2023,3489
CHL,NLD,2020,5
CHL,NLD,2021,5
CHL,NLD,2022,7
CHL,NLD,2023,5
CHL,NOR,2012,5
CHL,NZL,2009,5
CHL,NZL,2011,5
CHL,NZL,2019,7
CHL,NZL,2020,5
CHL,NZL,2021,5
CHL,NZL,2023,5
CHL,PER,2018,6
CHL,PER,2019,5
CHL,PER,2020,5
CHL,PER,2023,5
CHL,POL,2020,5
CHL,PRY,2023,5
CHL,SWE,2008,83
CHL,SWE,2009,45
CHL,SWE,2010,28
CHL,SWE,2011,33
CHL,SWE,2012,18
CHL,SWE,2013,36
CHL,SWE,2014,23
CHL,SWE,2015,36
CHL,SWE,2016,45
CHL,SWE,2017,39
CHL,SWE,2018,76
CHL,SWE,2019,74
CHL,SWE,2020,136
CHL,SWE,2021,36
CHL,SWE,2022,36
CHL,SWE,2023,40
CHL,URY,2020,5
CHL,URY,2022,6
CHL,URY,2023,6
CHL,USA,2008,18
CHL,USA,2009,18
CHL,USA,2010,27
CHL,USA,2011,23
CHL,USA,2012,26
CHL,USA,2013,20
CHL,USA,2014,22
CHL,USA,2015,23
CHL,USA,2016,38
CHL,USA,2017,68
CHL,USA,2018,64
CHL,USA,2019,107
CHL,USA,2020,238
CHL,USA,2021,471
CHL,USA,2022,2604
CHL,USA,2023,6062
CHL,ZAF,2010,5
CHL,ZAF,2012,5
COL,ABW,2012,5
COL,ABW,2018,7
COL,ARG,2008,171
COL,ARG,2009,129
COL,ARG,2010,157
COL,ARG,2011,342
COL,ARG,2012,221
COL,ARG,2013,88
COL,ARG,2014,58
COL,ARG,2015,53
COL,ARG,2016,34
COL,ARG,2017,63
COL,ARG,2018,60
COL,ARG,2019,65
COL,ARG,2020,44
COL,ARG,2021,40
COL,ARG,2022,57
COL,ARG,2023,30
COL,AUS,2008,29
COL,AUS,2009,47
COL,AUS,2010,52
COL,AUS,2011,75
COL,AUS,2012,63
COL,AUS,2013,53
COL,AUS,2014,55
COL,AUS,2015,35
COL,AUS,2016,74
COL,AUS,2017,79
COL,AUS,2018,39
COL,AUS,2019,71
COL,AUS,2020,118
COL,AUS,2021,8
COL,AUS,2022,282
COL,AUS,2023,288
COL,AUT,2011,5
COL,AUT,2016,5
COL,AUT,2017,11
COL,AUT,2019,14
COL,AUT,2020,16
COL,AUT,2021,9
COL,AUT,2022,30
COL,AUT,2023,15
COL,BEL,2008,5
COL,BEL,2009,8
COL,BEL,2010,13
COL,BEL,2011,5
COL,BEL,2012,15
COL,BEL,2013,9
COL,BEL,2014,12
COL,BEL,2015,5
COL,BEL,2016,19
COL,BEL,2017,65
COL,BEL,2018,155
COL,BEL,2019,195
COL,BEL,2020,203
COL,BEL,2021,280
COL,BEL,2022,564
COL,BEL,2023,705
COL,BHS,2018,5
COL,BOL,2008,31
COL,BOL,2009,41
COL,BOL,2010,39
COL,BOL,2011,29
COL,BOL,2012,31
COL,BOL,2013,11
COL,BOL,2014,15
COL,BOL,2015,11
COL,BOL,2016,6
COL,BOL,2019,16
COL,BOL,2020,22
COL,BOL,2021,20
COL,BOL,2022,26
COL,BOL,2023,6
COL,BRA,2008,87
COL,BRA,2009,57
COL,BRA,2010,59
COL,BRA,2011,193
COL,BRA,2012,128
COL,BRA,2013,108
COL,BRA,2014,95
COL,BRA,2015,101
COL,BRA,2016,74
COL,BRA,2017,164
COL,BRA,2018,209
COL,BRA,2019,276
COL,BRA,2020,161
COL,BRA,2021,51
COL,BRA,2022,656
COL,BRA,2023,973
COL,CAN,2008,3132
