iso,year,events_flood,events_drought,events_hurricane,deaths_flood,deaths_drought,deaths_hurricane,affected_flood,affected_drought,affected_hurricane
HTI,2020,0,0,1,0,0,39,0,0,44175
HTI,2021,1,0,2,7,0,0,13380,0,0
HTI,2022,2,0,0,7,0,0,13000,0,0
HTI,2023,2,0,0,80,0,0,225000,0,0
JAM,2008,0,0,2,0,0,13,0,0,4000
JAM,2010,0,0,1,0,0,15,0,0,2480
JAM,2012,0,0,1,0,0,1,0,0,215850
JAM,2014,0,1,0,0,0,0,0,91545,0
JAM,2016,0,0,1,0,0,0,0,0,125000
KNA,2008,0,0,1,0,0,0,0,0,0
KNA,2017,0,0,1,0,0,0,0,0,500
LCA,2010,1,1,1,0,0,14,2000,0,181000
LCA,2013,1,0,0,6,0,0,19984,0,0
LCA,2016,0,0,1,0,0,0,0,0,25000
LCA,2021,0,0,1,0,0,1,0,0,0
LCA,2022,1,0,0,0,0,0,5500,0,0
MEX,2008,1,0,1,12,0,2,20000,0,500000
MEX,2009,5,0,2,28,0,4,140170,0,112000
MEX,2010,2,0,4,66,0,43,1020000,0,555075
MEX,2011,3,1,5,77,0,43,440000,2500000,550450
MEX,2012,0,0,2,0,0,19,0,0,87000
MEX,2013,1,0,4,13,0,210,0,0,172000
MEX,2014,0,0,6,0,0,19,0,0,144000
MEX,2015,1,0,1,0,0,14,3000,0,15000
MEX,2016,5,0,2,25,0,65,50000,0,21500
MEX,2017,1,0,4,2,0,29,800,0,1410
MEX,2018,1,0,2,20,0,20,0,0,10000
MEX,2019,3,0,3,12,0,4,642,0,1200
MEX,2020,2,0,5,30,0,42,95100,0,4106
MEX,2021,3,0,5,30,0,20,12520,0,2871
MEX,2022,2,0,3,13,0,38,3150,0,16000
MEX,2023,1,0,1,11,0,104,0,0,988000
NIC,2008,2,0,1,17,0,13,14188,0,25000
NIC,2009,2,0,1,0,0,0,6885,0,19897
NIC,2010,2,0,2,66,0,5,75860,0,0
NIC,2011,1,0,0,17,0,0,143000,0,0
NIC,2012,1,0,0,9,0,0,29500,0,0
NIC,2013,1,0,0,27,0,0,14149,0,0
NIC,2014,1,1,0,0,0,0,60345,460000,0
NIC,2015,1,0,0,2,0,0,3750,0,0
NIC,2016,0,0,1,0,0,0,0,0,10570
NIC,2017,1,0,1,7,0,15,13565,0,39200
NIC,2018,1,1,0,4,0,0,13000,300000,0
NIC,2020,0,0,2,0,0,20,0,0,930000
NIC,2022,0,0,2,0,0,5,0,0,48000
PAN,2008,2,0,0,28,0,0,23832,0,0
PAN,2009,1,0,0,0,0,0,4248,0,0
PAN,2010,4,0,0,15,0,0,32642,0,0
PAN,2011,2,0,0,0,0,0,4000,0,0
PAN,2012,2,0,0,6,0,0,9416,0,0
PAN,2013,0,1,0,0,0,0,0,0,0
PAN,2014,1,0,0,9,0,0,116,0,0
PAN,2015,1,1,0,0,0,0,3500,0,0
PAN,2016,0,0,1,0,0,7,0,0,12000
PAN,2017,0,0,1,0,0,7,0,0,12000
PAN,2018,0,1,0,0,0,0,0,0,0
PAN,2020,1,0,2,11,0,83,150,0,5000
PAN,2021,2,0,0,1,0,0,30190,0,0
PAN,2022,1,0,0,0,0,0,150,0,0
PER,2008,1,0,0,40,0,0,450000,0,0
PER,2009,1,0,0,158,0,0,235886,0,0
PER,2010,1,0,0,20,0,0,80000,0,0
PER,2011,3,0,0,72,0,0,822838,0,0
PER,2012,1,0,0,14,0,0,0,0,0
PER,2013,2,0,0,68,0,0,180734,0,0
PER,2014,3,0,0,41,0,0,90178,0,0
PER,2015,2,0,0,9,0,0,150585,0,0
PER,2016,1,0,0,2,0,0,10000,0,0
PER,2017,3,0,0,200,0,0,2188000,0,0
PER,2019,3,0,0,61,0,0,9200,0,0
PER,2020,3,0,0,15,0,0,7228,0,0
PER,2021,8,0,0,23,0,0,29148,0,0
PER,2022,1,0,0,1,0,0,500,0,0
PER,2023,3,0,1,96,0,8,534494,0,45000
PRY,2008,0,1,0,0,4,0,0,18000,0
PRY,2009,1,1,0,0,0,0,12035,200000,0
PRY,2012,1,1,0,0,0,0,78945,1391900,0
PRY,2013,1,1,0,0,0,0,61400,75000,0
PRY,2014,2,0,0,0,0,0,233360,0,0
PRY,2015,2,0,0,12,0,0,140150,0,0
PRY,2016,0,1,0,0,0,0,0,0,0
PRY,2018,2,0,0,0,0,0,46300,0,0
PRY,2019,3,0,0,40,0,0,521197,0,0
PRY,2021,2,0,0,10,0,0,6000,0,0
PRY,2023,2,0,0,6,0,0,46656,0,0
SLV,2008,2,0,0,30,0,0,3000,0,0
SLV,2009,0,1,1,0,0,275,0,0,75000
SLV,2010,0,0,3,0,0,18,0,0,11750
SLV,2011,1,0,0,35,0,0,300000,0,0
SLV,2015,1,1,0,1,0,0,0,700000,0
SLV,2017,0,0,1,0,0,10,0,0,530
SLV,2018,1,1,0,4,0,0,7085,386610,0
SLV,2020,0,0,3,0,0,33,0,0,149840
SLV,2021,1,0,0,5,0,0,300,0,0
SLV,2022,0,0,2,0,0,11,0,0,9373
SLV,2023,0,0,1,0,0,3,0,0,500
SUR,2008,1,0,0,2,0,0,6548,0,0
SUR,2021,1,0,0,0,0,0,10100,0,0
SUR,2022,1,0,0,0,0,0,9000,0,0
TTO,2010,0,1,0,0,0,0,0,0,0
TTO,2018,1,0,0,0,0,0,150000,0,0
TTO,2022,1,0,0,0,0,0,100000,0,0
URY,2009,1,0,0,1,0,0,4000,0,0
URY,2015,3,0,0,2,0,0,35326,0,0
URY,2016,1,0,0,8,0,0,10355,0,0
URY,2017,1,0,0,0,0,0,6639,0,0
URY,2018,0,1,0,0,0,0,0,75000,0
URY,2019,3,0,0,0,0,0,13103,0,0
URY,2020,1,0,0,0,0,0,360,0,0
URY,2022,1,1,0,0,0,0,160,409115,0
URY,2023,1,1,0,0,0,0,3472,409115,0
VCT,2010,0,1,1,0,0,0,0,0,6000
VCT,2011,1,0,0,0,0,0,275,0,0
VCT,2013,1,0,0,12,0,0,16885,0,0
VCT,2016,1,0,1,0,0,1,25000,0,0
VCT,2021,0,0,1,0,0,0,0,0,129
VCT,2023,0,0,1,0,0,0,0,0,150
VEN,2008,1,0,0,8,0,0,1500,0,0
VEN,2009,0,1,0,0,0,0,0,0,0
VEN,2010,1,0,1,41,0,8,94800,0,0
VEN,2011,3,0,0,17,0,0,1668,0,0
VEN,2012,1,0,0,0,0,0,11000,0,0
VEN,2015,1,0,0,0,0,0,45297,0,0
VEN,2016,1,0,0,0,0,0,0,0,0
VEN,2018,2,0,0,2,0,0,10700,0,0
VEN,2019,1,0,0,6,0,0,2000,0,0
VEN,2020,1,0,0,3,0,0,3690,0,0
VEN,2021,2,0,0,46,0,0,1401300,0,0
VEN,2022,5,0,0,33,0,0,91700,0,0
VEN,2023,1,0,0,12,0,0,112,0,0
