iso,year,events_flood,events_drought,events_hurricane,deaths_flood,deaths_drought,deaths_hurricane,affected_flood,affected_drought,affected_hurricane,int_disp_flood,int_disp_hurricane,int_disp_drought,asylum_apps,gdp_pc_const,agri_va_pct,unemp_rate,remit_gdp_pct,population,gini_index,diaspora_US,diaspora_ESP,total_events,total_int_disp,asylum_apps_pc100k,int_disp_total_pc100k,deaths_total,affected_total,deaths_per_event,affected_per_event,any_drought_event,any_flood_event,any_hurricane_event,any_internal_disp,log_asylum_apps,log_int_disp_total,log_events_total,lag_asylum_apps,lag_int_disp_total,lag_total_events,lag_drought_events,lag_flood_events,lag_hurricane_events
PRY,2009,1,1,0,0,0,0,12035,200000,0,0,0,0,20,4727.59685811395,9.94793815611476,5.46,1.68775418813293,5671236,49.1,NA,NA,2,0,0.35265681061412363,0,0,212035,0,106017.5,1,1,0,0,3.044522437723423,0,1.0986122886681098,17,60,1,1,0,0
PER,2009,1,0,0,158,0,0,235886,0,0,45825,0,0,1991,4801.17153740507,7.40390665571257,3.96,1.99357606247792,28896811,47,NA,NA,1,45825,6.890033644196932,158.58151267972096,158,235886,158,235886,0,1,0,1,7.596894438144544,10.732606894619288,0.6931471805599453,2681,45000,1,0,1,0
SUR,2009,0,0,0,0,0,0,0,0,0,0,0,0,15,8276.69079768793,9.84207557811619,8.72,0.118697123519459,543568,NA,NA,NA,0,0,2.7595443440379124,0,0,0,NA,NA,0,0,0,0,2.772588722239781,0,0,10,0,1,0,1,0
URY,2009,1,0,0,1,0,0,4000,0,0,0,0,0,23,13691.71420689,7.88699609562802,7.74,0.30901312831289,3310091,45.5,NA,NA,1,0,0.694844945350445,0,1,4000,1,4000,0,1,0,0,3.1780538303479458,0,0.6931471805599453,41,0,0,0,0,0
VEN,2009,0,1,0,0,0,0,0,0,0,0,0,0,781,NA,5.6621777947414,6.097,0.0400257585249293,28438298,NA,NA,NA,1,0,2.746296561067051,0,0,0,0,0,1,0,0,0,6.661854740545311,0,0.6931471805599453,1034,4695,1,0,1,0
BLZ,2009,0,0,0,0,0,0,0,0,0,0,0,0,16,5997.24330826644,8.5430855789162,8.328,4.65374010085512,312614,NA,NA,NA,0,0,5.118132905116213,0,0,0,NA,NA,0,0,0,0,2.833213344056216,0,0,5,400,2,0,1,1
CRI,2009,0,0,0,0,0,0,0,0,0,0,0,0,55,9883.675670469,7.04962970066208,7.824,1.66882404498927,4499791,50.6,NA,NA,0,0,1.2222789902908824,0,0,0,NA,NA,0,0,0,0,4.02535169073515,0,0,47,12159,4,0,3,1
SLV,2009,0,1,1,0,0,275,0,0,75000,0,15000,0,3211,3337.81150878211,6.66859073198944,7.33,19.3296980618829,6048279,45.8,NA,NA,2,15000,53.08948214855829,248.0044323352147,275,75000,137.5,37500,1,0,1,1,8.074649075066652,9.61587214452889,1.0986122886681098,3584,95,2,0,2,0
GTM,2009,1,1,0,0,0,0,10800,2500000,0,0,0,0,2123,3516.19217683281,11.8486078978063,3.208,10.7798821237051,14215611,NA,NA,NA,2,0,14.934285976170845,0,0,2510800,0,1255400,1,1,0,0,7.66105638236183,0,1.0986122886681098,2203,15764,3,0,2,1
HND,2009,0,1,0,0,0,0,0,45000,0,0,0,0,1515,2076.30859895638,10.8250414864446,3.292,16.9826205436393,8189899,51.3,NA,NA,1,0,18.49839662247361,0,0,45000,0,45000,1,0,0,0,7.323830566202317,0,0.6931471805599453,1451,70250,2,0,1,1
NIC,2009,2,0,1,0,0,0,6885,0,19897,0,0,0,424,1655.72028962416,16.0676510041113,8.16,9.28217394241574,5656601,43.9,NA,NA,3,0,7.4956674511778365,0,0,26782,0,8927.333333333334,0,1,1,0,6.052089168924417,0,1.3862943611198906,424,18890,3,0,2,1
PAN,2009,1,0,0,0,0,0,4248,0,0,0,0,0,31,10267.0633151993,3.78306123386363,5.864,1.21261338857237,3564381,51.8,NA,NA,1,0,0.8697162284278813,0,0,4248,0,4248,0,1,0,0,3.4657359027997265,0,0.6931471805599453,29,0,2,0,2,0
